modelo,parametro,declarado,observado,evidencia,fecha,error_literal
gpt-4o-mini,temperature,si,aceptado y actua,temperature=0: 0% de casos con corridas distintas; temperature=1.5: 100% de casos con corridas distintas,2026-09-20,
gpt-4o-mini,top_p,si,aceptado y actua,top_p=0.1: 33% de casos con corridas distintas; top_p=1: 67% de casos con corridas distintas,2026-09-20,
gpt-4o-mini,top_k,no,rechazado,12/12 llamadas con error,2026-09-20,TypeError: Completions.create() got an unexpected keyword argument 'top_k'
gpt-5.6-luna,temperature,no_en_esta_fila,rechazado,12/12 llamadas con error,2026-09-20,"400: Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
gpt-5.6-luna,top_p,no_en_esta_fila,rechazado,6/12 llamadas con error,2026-09-20,"400: Error code: 400 - {'error': {'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': 'unsupported_parameter'}}"
gpt-5.6-luna,top_k,no,rechazado,12/12 llamadas con error,2026-09-20,TypeError: Completions.create() got an unexpected keyword argument 'top_k'
qwen3:1.7b,temperature,si,aceptado y actua,temperature=0: 33% de casos con corridas distintas; temperature=1.5: 100% de casos con corridas distintas,2026-09-20,
qwen3:1.7b,top_p,si,aceptado y actua,top_p=0.1: 33% de casos con corridas distintas; top_p=1: 100% de casos con corridas distintas,2026-09-20,
qwen3:1.7b,top_k,si,aceptado y actua,top_k=1: 33% de casos con corridas distintas; top_k=40: 100% de casos con corridas distintas,2026-09-20,
